date,mean_mm,max_mm,min_mm,n_pixels
2014.05.08,79.02,109.12,57.76,165
2014.05.09,83.38,121.28,30.65,165
2014.05.10,0.18,28.91,0.0,165
2014.05.11,169.0,226.94,46.68,165
2014.05.12,15.62,68.82,0.0,165
2016.05.20,17.36,87.48,7.44,165
2017.08.26,28.75,58.24,12.53,165
2017.08.27,69.85,114.7,31.16,165
2017.08.28,38.54,72.14,0.0,165
2017.08.29,0.0,0.0,0.0,165
2017.08.30,2.67,21.28,0.0,165
2018.08.26,0.24,11.75,0.0,165
2018.08.27,5.95,23.25,0.0,165
2018.08.28,17.37,44.41,0.0,165
2018.08.29,66.41,91.47,32.02,165
2018.08.30,65.36,128.07,39.28,165
2020.05.11,34.92,49.81,18.97,165
2023.05.11,0.1,16.48,0.0,165
2023.09.04,11.78,46.5,0.0,165
2023.09.05,0.98,25.94,0.0,165
2023.09.06,31.11,58.66,0.0,165
2023.09.07,96.62,146.01,21.36,165
2023.09.08,42.64,67.68,17.94,165
2024.04.23,29.15,60.81,0.0,165
2024.04.24,23.49,65.34,0.0,165
2024.04.25,34.55,75.15,0.0,165
2024.04.26,30.73,54.89,9.45,165
2024.04.27,7.5,34.32,0.0,165
2024.05.11,0.0,0.0,0.0,165
