name,highway,lat,lon,length_m,n_nodes
嘉宾路,secondary,22.54142,114.1076,66.0,2
嘉宾路,secondary,22.54164,114.10922,243.4,8
嘉宾路,secondary,22.54152,114.1076,69.3,2
珠三角环线高速,motorway,22.68914,114.04918,694.8,6
珠三角环线高速,motorway,22.68207,114.04844,157.5,2
沈海高速 深岑高速,motorway,22.67766,114.06385,91.9,2
沈海高速 深岑高速,motorway,22.68397,114.03397,77.3,2
京港澳高速,motorway,22.56915,113.92257,330.5,15
107国道,trunk,22.55231,113.91003,68.2,2
皇岗路,trunk,22.57591,114.06537,1134.4,28
滨河大道,trunk,22.53401,114.06371,8302.2,88
侨城东路,primary,22.53908,113.99224,973.2,22
107国道,trunk,22.55157,113.9073,300.6,20
福中三路,tertiary,22.54576,114.06254,80.9,12
桂庙路,trunk,22.52612,113.9103,755.6,31
南光路,secondary,22.52249,113.92184,801.0,18
海德二道,tertiary,22.52364,113.92023,650.7,13
京港澳高速,motorway,22.51642,114.05807,7.9,2
外环路,primary,22.73512,113.84899,184.3,13
广深公路辅路,primary,22.60967,113.85654,242.8,5
甘泉路,tertiary,22.54814,114.08886,226.0,4
宝田三路,tertiary,22.60588,113.86667,333.3,4
振华路,secondary,22.54718,114.08763,738.7,15
沿河南路,trunk,22.54702,114.13449,343.2,9
前进二路,secondary,22.59342,113.8779,158.7,4
西乡大道辅路,tertiary,22.59333,113.88579,919.6,15
华强南路,secondary,22.53676,114.08158,308.3,17
前进二路,secondary,22.61045,113.86134,3262.5,54
皇岗路,trunk,22.55513,114.06771,881.1,21
洲石路,primary,22.62288,113.85646,512.6,11
中航路,secondary,22.54425,114.07924,247.7,8
北环大道辅路,primary,22.55539,113.9317,94.7,3
上步南路,primary,22.54134,114.0913,40.0,4
宝安大道,trunk,22.58428,113.85871,1518.9,27
宝安大道,trunk,22.64959,113.81912,564.1,7
机场道,secondary,22.65003,113.82804,185.3,4
京港澳高速 沈海高速,motorway,22.65869,113.82898,586.2,5
南海大道,primary,22.54226,113.92694,219.4,3
南海大道,primary,22.53985,113.92702,300.0,4
南海大道,primary,22.54336,113.92706,231.5,3
,primary,22.52008,114.07062,177.6,13
京港澳高速,motorway,22.5709,113.92109,318.4,8
京港澳高速,motorway,22.51624,114.05828,7.6,2
广深公路,trunk,22.69321,113.82672,3854.0,47
广深公路,trunk,22.64949,113.82665,101.7,3
广深公路,trunk,22.69276,113.82688,3708.1,49
西环路,primary,22.74596,113.79677,1516.8,18
沙井南环路,secondary,22.72064,113.79975,1271.1,21
宝安大道,trunk,22.75197,113.82134,2666.3,31
南海大道,primary,22.56561,113.92894,182.0,2
同乐路,primary,22.56698,113.92908,119.7,2
南海大道,primary,22.56561,113.9291,182.4,2
民主大道,secondary,22.73788,113.79612,10.8,2
民主大道,secondary,22.73785,113.78717,2632.0,25
民主大道,secondary,22.73505,113.77073,336.6,5
红荔路,secondary,22.55187,114.09559,848.7,17
南光高速,motorway,22.59381,113.92581,497.7,2
百花三路,tertiary,22.55643,114.08748,340.4,7
北环大道,trunk,22.55622,113.95331,153.6,2
松白路,primary,22.65987,113.91781,2862.1,54
北环大道辅路,primary,22.55654,113.95329,153.5,2
北环大道辅路,primary,22.55652,113.95064,522.6,14
深南大道,primary,22.54327,113.95803,115.4,2
深南大道,primary,22.54321,113.95451,546.7,3
沙河东路,primary,22.53526,113.95903,1165.5,19
益田路,primary,22.54935,114.05114,323.4,8
益田路,primary,22.54242,114.05123,426.8,3
华强南路,secondary,22.53393,114.08215,291.6,6
华发北路,secondary,22.54746,114.08411,900.9,11
白石路,secondary,22.53222,113.9992,1113.5,21
白石路,primary,22.53568,113.95074,535.6,9
科苑北路,primary,22.54287,113.94056,79.4,2
红岗路,secondary,22.59259,114.10758,11.0,2
新洲路,primary,22.56446,114.03951,111.1,2
景田路,secondary,22.55372,114.03959,751.7,20
侨香路,primary,22.55555,114.02249,1097.1,26
西乡大道,primary,22.56588,113.84934,560.1,16
桃园路,secondary,22.53524,113.90729,576.2,15
南山大道,secondary,22.5601,113.91935,166.9,3
屏廈路 Ping Ha Road,tertiary,22.44668,113.99775,12.2,2
天福路 Tin Fuk Road,secondary,22.44796,114.00399,21.1,4
天耀路 Tin Yiu Road,secondary,22.44898,114.00326,213.7,9
天湖路 Tin Wu Road,secondary,22.45334,114.00423,92.5,5
天城路 Tin Shing Road,secondary,22.45126,114.00712,17.5,3
天祥路 Tin Cheung Road,secondary,22.45647,114.00633,26.9,4
天慈路 Tin Tsz Road,primary,22.45276,114.00894,246.3,8
天慈路 Tin Tsz Road,primary,22.45261,114.00904,187.6,7
天城路 Tin Shing Road,secondary,22.45974,114.00289,124.7,5
天榮路 Tin Wing Road,tertiary,22.45871,113.99808,7.8,2
天龍路 Tin Lung Road,tertiary,22.45854,114.00498,150.2,10
天榮路 Tin Wing Road,secondary,22.46058,114.0017,66.3,4
天城路 Tin Shing Road,secondary,22.46205,114.00185,13.4,2
天華路 Tin Wah Road,secondary,22.46199,113.99751,120.1,5
天葵路 Tin Kwai Road,tertiary,22.45957,114.00548,66.5,7
天葵路 Tin Kwai Road,tertiary,22.46257,114.00394,84.2,5
天秀路 Tin Sau Road,tertiary,22.4646,114.00227,306.4,10
,secondary,22.46173,113.99698,17.9,4
天華路 Tin Wah Road,secondary,22.46213,114.00717,283.2,7
天瑞路 Tin Shui Road,secondary,22.46228,113.99688,35.8,4
京港澳高速 沈海高速,motorway,22.6624,113.82839,193.2,3
莞佛高速,motorway,22.81456,113.73962,411.9,3
莞佛高速,motorway,22.8359,113.76257,2005.2,19
福龙路,trunk,22.56675,114.01275,450.3,9
彩田路,primary,22.5337,114.06294,305.6,5
金田路,primary,22.53882,114.05797,286.7,13
金田路,primary,22.54859,114.05782,432.4,16
沙河西路,primary,22.52265,113.94885,201.9,2
兴海大道,tertiary,22.47537,113.89926,726.4,33
中航路,secondary,22.54629,114.07922,180.5,3
振中路,tertiary,22.54538,114.07763,308.6,7
科苑南路,primary,22.53909,113.94061,384.8,8
后海大道,primary,22.51182,113.92737,1072.2,20
工业二路,tertiary,22.48509,113.91034,318.0,13
南海大道,primary,22.51432,113.92122,1065.8,23
东滨路,primary,22.51153,113.9145,1018.5,14
庄边路,secondary,22.58925,113.87927,389.8,2
前进二路,secondary,22.58817,113.88295,528.3,4
北环大道,trunk,22.55059,113.90699,463.4,9
宝田一路,secondary,22.6012,113.87912,1339.7,29
西乡大道,primary,22.58889,113.8736,307.3,3
裕安二路,secondary,22.57418,113.89448,402.4,12
滨海大道,trunk,22.52466,113.93491,991.1,3
中航路,tertiary,22.54839,114.07861,230.6,4
罗沙公路,trunk,22.56151,114.17544,401.9,8
春风路高架桥,trunk,22.53735,114.10769,667.2,19
沿河路高架桥,trunk,22.53933,114.11922,524.8,26
春风路高架桥,trunk,22.53833,114.11358,444.3,11
春风路高架桥布吉河桥,trunk,22.53729,114.10541,89.8,2
惠深沿海高速,motorway,22.57713,114.25295,847.8,10
惠深沿海高速,motorway,22.58329,114.26038,1347.8,10
烏蛟騰路 Wu Kau Tang Road,tertiary,22.50628,114.24161,110.3,4
烏蛟騰路 Wu Kau Tang Road,tertiary,22.50865,114.23878,865.9,33
運頭街 Wan Tau Street,secondary,22.44788,114.16864,9.5,2
錦山路 Kam Shan Road,tertiary,22.4487,114.16015,635.1,40
南運路 Nam Wan Road,secondary,22.4444,114.16696,127.9,10
寶湖道 Plover Cove Road,tertiary,22.44899,114.16824,276.7,19
梅丽路,tertiary,22.57004,114.03349,457.7,14
高新南九道,tertiary,22.53258,113.94273,430.8,8
福田南路,tertiary,22.52952,114.0718,665.1,27
汀太路 Ting Tai Road,secondary,22.45531,114.16576,11.6,2
莲花路,primary,22.56176,114.05248,1795.4,48
科技南五路,tertiary,22.53853,113.94212,274.0,8
新洲九街,tertiary,22.52775,114.04464,28.0,2
白石路,primary,22.53496,113.93722,753.0,20
工业七路,tertiary,22.49929,113.93429,196.8,11
工业六路,tertiary,22.49591,113.91398,147.0,2
宝源路,primary,22.57091,113.86008,855.1,12
流塘路,secondary,22.58426,113.88113,852.7,12
建安二路,secondary,22.58402,113.88164,1088.5,16
汀角路 Ting Kok Road,secondary,22.45152,114.16507,13.0,2
運頭街 Wan Tau Street,secondary,22.44622,114.16731,27.8,5
莞佛高速,motorway,22.81282,113.74736,101.5,3
莞佛高速,motorway,22.81395,113.7491,367.6,6
东门中兴路,tertiary,22.55211,114.12138,766.9,22
东门北路,primary,22.56081,114.12876,746.5,15
人民北路,tertiary,22.55271,114.11508,354.5,8
晒布路,secondary,22.55303,114.11576,334.5,8
新园路,secondary,22.55047,114.11321,772.8,40
文锦南路,trunk,22.54444,114.12604,223.5,6
爱国路,trunk,22.56195,114.13176,11.9,2
