station_code,station_name,lat,lon,elevation_m,road_density,impervious_pct,dist_to_water_km
9281192001,(市)平湖火车隧道口,22.697494,114.119296,58.0,4.48,83.1,1.63
MS1104403060000414,(市)宝安区福和路西六巷,22.75496986065163,113.7975587837876,6.0,4.07,87.0,0.24
MS1104403070000304,(市)英才学校,22.76973,113.87325,7.0,7.39,57.9,0.49
MS1104403070000251,(市)龙岗区政府,22.725427,114.267299,27.0,5.23,88.9,0.31
MS1104403050000160,(市)桃园路与南新路交叉口,22.535395972003414,113.91852837514443,9.0,9.37,78.8,0.35
MS1104403110000597,(市)东长路外环高速长圳入口,22.747509018088216,113.91221411091422,27.0,3.78,39.5,0.28
MS1104403030000232,(市)沿河南路文锦路社区,22.550252268776845,114.11444108979862,11.0,9.18,75.1,0.28
MS1104403060000304,(市)山门第三工业区,22.78637,113.85335,8.0,6.01,74.8,0.28
MS1104403060000448,(市)宝安区沙井西环路正科时代,22.658437552805964,113.96411546099013,324.0,0.0,0.0,1.48
MS1104403060000471,(市)万达广场,22.72132,114.05284,46.0,5.98,88.8,0.37
MS1104403030000304,(市)东湖路,22.582822583699635,114.1345991945055,60.0,6.37,75.6,0.69
MS1104403090000118,(市)新区大道深圳北站,22.624351465560785,114.01682556681699,84.0,10.68,77.7,0.85
MS1104403060000395,(市)宝安区幸福路与恒珠一路,22.805936,113.838415,8.0,5.58,97.4,0.19
MS1104403030000270,(市)罗湖区委,22.550022,114.125646,12.0,9.13,87.0,1.03
MS1104403060000490,(市)碧海湾地铁站 B 出入口,22.57724,113.85179,1.0,9.8,73.9,0.77
MS1104403050000122,(市)南山大道深意工业大厦段,22.540721694789013,113.9181638130031,9.0,9.05,80.2,0.33
MS1104403110000635,(市)公常路与环村路交叉口,22.826648407959507,113.95688701032125,27.0,1.12,54.3,0.72
MS1104403080000031,(市)桥东街小区,22.54853,114.22796,8.0,3.08,73.4,0.06
9281292004,(市)滨河益田立交桥洞,22.531345,114.051279,9.0,9.29,73.4,0.37
9281292005,(市)深南新洲一号立交桥洞,22.542743,114.044462,9.0,11.06,40.2,0.35
9281292010,(市)上星南路与中心路丽沙花都,22.502209013854387,113.93734688972145,5.0,14.42,78.0,0.19
MS1104403100000066,(市)文化中心地铁站,22.5733,114.07965,29.0,10.15,54.2,0.1
9281192019,(市)福龙路高铁桥下简上段,22.61964472178257,114.00080097044238,84.0,0.0,0.0,0.03
9281292023,(市)东滨路南行华联城市山林花园段,22.51106546682151,113.92212734316605,5.0,10.77,82.1,1.16
9281192022,(市)龙田社区大水湾,22.75888,114.362177,31.0,5.18,70.8,0.24
9281192008,(市)南联第六工业区桥洞,22.70491,114.24825,33.0,2.55,23.7,0.51
9281292013,(市)宝安大道固戍地铁站,22.64678387472509,113.8417801892837,33.0,0.0,0.7,0.07
9281292002,(市)广深高速桥下滨海大道北侧辅道,22.579823080041088,114.10123773351275,18.0,8.88,39.6,0.08
9281192012,(市)湖南立交,22.600046,114.1141,18.0,11.02,83.3,0.05
9281192010,(市)安良六村安业路与安居路交汇处,22.63087,114.21743,139.0,5.18,91.8,0.48
9281292015,(市)东环大道松宝大道段,22.770621,113.897676,12.0,2.82,85.5,0.12
9281292016,(市)长凤路龙大高速桥底,22.775734215738417,113.91156092305157,12.0,8.19,32.2,0.06
9281292008,洲石路鹤洲桥底（市）,22.651019027149744,113.88061107664711,38.0,0.0,0.0,0.45
MS1104403050000175,(市)后海大道与登良路交叉口,22.51179221810604,113.92884393579894,5.0,12.7,69.3,0.8
MS1104403090000065,(市)泗黎路凹背社区富坑社区,22.753687171367037,114.03385655648283,39.0,9.1,68.8,0.21
MS110440306000040X,(市)宝安区勋业街,22.77724,113.83513,11.0,6.92,87.4,0.58
MS1104403070000285,(市)育贤学校、童星幼儿园,22.724234,114.286811,83.0,8.39,96.2,0.77
MS1104403080000027,(市)沙头角口岸小区,22.552473,114.222972,8.0,5.85,67.9,0.13
MS1104403030000342,(市)文锦渡口岸,22.544653,114.131394,24.0,10.54,79.7,0.3
MS1104403060000467,(市)海雅缤纷城,22.56169,113.90085,1.0,10.34,87.9,0.06
MS1104403070000342,(市)布吉站（深圳东站）,22.60511,114.11506,46.0,12.94,96.2,0.12
MS1104403040000581,(市)北环大道与梅林路交汇处,22.55966775704351,113.99344633894496,47.0,3.57,44.0,1.07
9281292006,(市)北环新洲立交东南角辅道,22.563302,114.031096,34.0,11.37,85.2,0.8
MS1104403040000562,(市)上步红荔路口,22.550171284097686,114.05891535550717,51.0,11.55,58.4,0.29
MS1104403050000247,(市)国家超级计算深圳中心,22.599227,113.984574,37.0,4.43,45.8,0.28
MS1104403040000649,(市)深南大道车公庙交通枢纽段,22.5420797706313,113.9753640727562,-2.0,4.99,60.1,0.46
MS110440304000062X,(市)民田路深圳证券交易所,22.53903429826115,114.04781278730138,9.0,14.14,40.2,0.38
MS1104403030000285,(市)万象城,22.543945,114.105567,10.0,12.33,82.1,0.2
MS110440307000029X,(市)深圳远东妇产医院,22.642158,114.066256,97.0,8.06,74.6,0.6
MS1104403030000247,(市)深南东路黄贝岭,22.54661746874732,114.11811396992493,11.0,10.43,85.7,0.75
MS1104403050000228,(市)粤海门地铁站 D2 出入口,22.535881,113.940064,9.0,12.4,85.0,0.96
MS1104403030000338,(市)东湖公园爱国路与太宁路路口,22.563633808974675,114.13329390192719,12.0,6.7,78.1,0.98
9281192016,(市)宝荷路中新加油站对面,22.694796752516076,114.25970116268519,133.0,10.15,19.1,0.35
9281192004,(市)布李路富民城段,22.618912574166664,114.11654044833332,46.0,7.17,76.1,0.26
9281292003,(市)福田区竹子林立交下穿通道,22.530909,114.015299,15.0,11.76,56.9,0.22
9281192002,(市)新木路广深铁路桥底,22.6674177472887,114.13210195018992,62.0,1.44,74.5,1.89
9281192013,(市)高背路惠盐高速桥洞积水点,22.768476,114.321964,27.0,4.6,89.7,0.08
9281292024,(市)深圳湾东滨路与中心路交叉口,22.51106546682151,113.92212734316605,5.0,10.77,82.1,1.16
MS1104403050000232,(市)桂庙路地下道路,22.52643977555155,113.91686609460196,9.0,16.37,92.6,0.54
MS1104403070000266,(市)五和地铁站H出入口,22.63039,114.05677,82.0,9.42,83.1,1.01
MS110440305000018X,(市)后海大道港湾创业大厦,22.51179221810604,113.92884393579894,5.0,12.7,69.3,0.8
MS1104403090000141,(市)大浪新围街大船坑市场段,22.692058934615382,113.9964102346154,92.0,10.13,75.8,0.03
MS1104403060000376,(市)新圳西路万佳商场段,22.56349644,113.89998969999999,1.0,14.62,87.9,0.25
MS1104403110000601,(市)光侨雅苑,22.53711,113.98048,-2.0,6.58,48.3,0.13
MS1104403080000012,(市)金融路海涛路口片区,22.553642038690473,114.22939035281746,8.0,6.11,82.3,0.6
MS1104403070000175,(市)龙平西路新秀社区公园,22.731009781031894,114.22605984524496,56.0,4.53,57.7,1.2
MS1104403070000338,(市)布澜路国芬路口,22.635311170786817,114.12784150313183,57.0,6.36,86.6,0.56
