czbm,district_id,method,reference_distance_km,coordinate_check,lat,lon
9281192001,longgang,district-polygon-repaired-segments,0.0,inside_derived_polygon,22.697494,114.119296
9281192002,longgang,district-polygon-repaired-segments,0.0,inside_derived_polygon,22.6674177472887,114.13210195018992
9281192003,longgang,district-polygon-repaired-segments,0.0,inside_derived_polygon,22.6674177472887,114.13210195018992
9281192004,longgang,district-polygon-repaired-segments,0.0,inside_derived_polygon,22.618912574166664,114.11654044833332
9281192005,longgang,district-polygon-repaired-segments,0.0,inside_derived_polygon,22.62797037826087,114.10927237391306
9281192006,longgang,district-polygon-repaired-segments,0.0,inside_derived_polygon,22.65976725256875,114.05975735653944
9281192007,futian,district-polygon-repaired-segments,0.0,inside_derived_polygon,22.52612,114.02916
9281192008,longgang,district-polygon-repaired-segments,0.0,inside_derived_polygon,22.70491,114.24825
9281192009,longgang,district-polygon-repaired-segments,0.0,inside_derived_polygon,22.656176,114.209692
9281192010,longgang,district-polygon-repaired-segments,0.0,inside_derived_polygon,22.63087,114.21743
9281192011,longgang,district-polygon-repaired-segments,0.0,inside_derived_polygon,22.741674,114.235649
9281192012,longgang,district-polygon-repaired-segments,0.0,inside_derived_polygon,22.600046,114.1141
9281192013,longgang,district-polygon-repaired-segments,0.0,inside_derived_polygon,22.768476,114.321964
9281192014,longgang,district-polygon-repaired-segments,0.0,inside_derived_polygon,22.786953,114.329639
9281192015,longhua,nearest-labelled-floodpoint,1.9498,spatial_fallback,22.73162335,114.107919
9281192016,longgang,district-polygon-repaired-segments,0.0,inside_derived_polygon,22.694796752516076,114.25970116268519
9281192017,longhua,district-polygon-repaired-segments,0.0,inside_derived_polygon,22.705673908780923,114.07279441765539
9281192018,longhua,district-polygon-repaired-segments,0.0,inside_derived_polygon,22.669745856798677,114.03752701836405
9281192019,nanshan,district-polygon-repaired-segments,0.0,inside_derived_polygon,22.61964472178257,114.00080097044238
9281192020,longhua,district-polygon-repaired-segments,0.0,inside_derived_polygon,22.648754971805,114.02570221318598
9281192021,longhua,district-polygon-repaired-segments,0.0,inside_derived_polygon,22.65040479515617,114.03284713758192
9281192022,pingshan,district-polygon-repaired-segments,0.0,inside_derived_polygon,22.75888,114.362177
9281292001,futian,district-polygon-repaired-segments,0.0,inside_derived_polygon,22.531649,114.068077
9281292002,luohu,district-polygon-repaired-segments,0.0,inside_derived_polygon,22.579823080041088,114.10123773351275
9281292003,futian,district-polygon-repaired-segments,0.0,inside_derived_polygon,22.530909,114.015299
9281292004,futian,district-polygon-repaired-segments,0.0,inside_derived_polygon,22.531345,114.051279
9281292005,futian,district-polygon-repaired-segments,0.0,inside_derived_polygon,22.542743,114.044462
9281292006,futian,district-polygon-repaired-segments,0.0,inside_derived_polygon,22.563302,114.031096
9281292007,nanshan,district-polygon-repaired-segments,0.0,inside_derived_polygon,22.55254164883845,113.90816500450731
9281292008,baoan,district-polygon-repaired-segments,0.0,inside_derived_polygon,22.651019027149744,113.88061107664711
9281292009,baoan,district-polygon-repaired-segments,0.0,inside_derived_polygon,22.70987723506993,113.7784856087664
9281292010,nanshan,district-polygon-repaired-segments,0.0,inside_derived_polygon,22.502209013854387,113.93734688972145
9281292011,baoan,district-polygon-repaired-segments,0.0,inside_derived_polygon,22.736379220337216,113.84591188570887
9281292012,baoan,district-polygon-repaired-segments,0.0,inside_derived_polygon,22.5905,113.83835
9281292013,baoan,district-polygon-repaired-segments,0.0,inside_derived_polygon,22.64678387472509,113.8417801892837
9281292014,nanshan,district-polygon-repaired-segments,0.0,inside_derived_polygon,22.55254164883845,113.90816500450731
9281292015,guangming,district-polygon-repaired-segments,0.0,inside_derived_polygon,22.770621,113.897676
9281292016,guangming,district-polygon-repaired-segments,0.0,inside_derived_polygon,22.775734215738417,113.91156092305157
9281292017,guangming,district-polygon-repaired-segments,0.0,inside_derived_polygon,22.795355,113.948633
9281292018,baoan,district-polygon-repaired-segments,0.0,inside_derived_polygon,22.763216165633853,113.85149341983029
9281292019,guangming,district-polygon-repaired-segments,0.0,inside_derived_polygon,22.801366,113.9042
9281292020,guangming,district-polygon-repaired-segments,0.0,inside_derived_polygon,22.763999933333334,113.8915635138889
9281292021,nanshan,district-polygon-repaired-segments,0.0,inside_derived_polygon,22.53399911521491,113.88871009435005
9281292022,nanshan,district-polygon-repaired-segments,0.0,inside_derived_polygon,22.540721694789013,113.9181638130031
9281292023,nanshan,district-polygon-repaired-segments,0.0,inside_derived_polygon,22.51106546682151,113.92212734316605
9281292024,nanshan,district-polygon-repaired-segments,0.0,inside_derived_polygon,22.51106546682151,113.92212734316605
MS1104403030000228,luohu,station-code-district-segment,,inside_encoded_district,22.57808,114.10931
MS1104403030000232,luohu,station-code-district-segment,,inside_encoded_district,22.550252268776845,114.11444108979862
MS1104403030000247,luohu,station-code-district-segment,,inside_encoded_district,22.54661746874732,114.11811396992493
MS1104403030000251,luohu,station-code-district-segment,,conflicts_with_derived_polygon,22.537985,114.091296
MS1104403030000266,luohu,station-code-district-segment,,inside_encoded_district,22.533635,114.112678
MS1104403030000270,luohu,station-code-district-segment,,inside_encoded_district,22.550022,114.125646
MS1104403030000285,luohu,station-code-district-segment,,inside_encoded_district,22.543945,114.105567
MS110440303000029X,luohu,station-code-district-segment,,inside_encoded_district,22.56924,114.11792
MS1104403030000304,luohu,station-code-district-segment,,inside_encoded_district,22.582822583699635,114.1345991945055
