lat,lon,elevation_m
22.44,113.72,0.0
22.47,113.72,0.0
22.5,113.72,0.0
22.53,113.72,0.0
22.56,113.72,0.0
22.59,113.72,0.0
22.62,113.72,0.0
22.65,113.72,0.0
22.68,113.72,0.0
22.71,113.72,0.0
22.74,113.72,0.0
22.77,113.72,4.0
22.8,113.72,19.0
22.83,113.72,13.0
22.86,113.72,16.0
22.44,113.75,0.0
22.47,113.75,0.0
22.5,113.75,0.0
22.53,113.75,0.0
22.56,113.75,0.0
22.59,113.75,0.0
22.62,113.75,0.0
22.65,113.75,0.0
22.68,113.75,0.0
22.71,113.75,0.0
22.74,113.75,0.0
22.77,113.75,7.0
22.8,113.75,10.0
22.83,113.75,11.0
22.86,113.75,156.0
22.44,113.78,0.0
22.47,113.78,0.0
22.5,113.78,0.0
22.53,113.78,0.0
22.56,113.78,0.0
22.59,113.78,0.0
22.62,113.78,0.0
22.65,113.78,0.0
22.68,113.78,-1.0
22.71,113.78,-1.0
22.74,113.78,2.0
22.77,113.78,-5.0
22.8,113.78,7.0
22.83,113.78,17.0
22.86,113.78,136.0
22.44,113.81,0.0
22.47,113.81,0.0
22.5,113.81,0.0
22.53,113.81,0.0
22.56,113.81,0.0
22.59,113.81,0.0
22.62,113.81,0.0
22.65,113.81,-1.0
22.68,113.81,23.0
22.71,113.81,14.0
22.74,113.81,6.0
22.77,113.81,1.0
22.8,113.81,1.0
22.83,113.81,30.0
22.86,113.81,205.0
22.44,113.84,0.0
22.47,113.84,0.0
22.5,113.84,0.0
22.53,113.84,0.0
22.56,113.84,0.0
22.59,113.84,1.0
22.62,113.84,33.0
22.65,113.84,33.0
22.68,113.84,38.0
22.71,113.84,14.0
22.74,113.84,8.0
22.77,113.84,11.0
22.8,113.84,8.0
22.83,113.84,74.0
22.86,113.84,39.0
22.44,113.87,0.0
22.47,113.87,0.0
22.5,113.87,2.0
22.53,113.87,0.0
22.56,113.87,1.0
22.59,113.87,1.0
22.62,113.87,48.0
22.65,113.87,38.0
22.68,113.87,118.0
22.71,113.87,95.0
22.74,113.87,38.0
22.77,113.87,7.0
22.8,113.87,6.0
22.83,113.87,42.0
22.86,113.87,50.0
22.44,113.9,0.0
22.47,113.9,8.0
22.5,113.9,281.0
22.53,113.9,0.0
22.56,113.9,1.0
22.59,113.9,58.0
22.62,113.9,35.0
22.65,113.9,21.0
22.68,113.9,62.0
22.71,113.9,36.0
22.74,113.9,27.0
22.77,113.9,12.0
22.8,113.9,11.0
22.83,113.9,151.0
22.86,113.9,34.0
