district,street,location,lat,lon,method
福田区,福保街道,石厦碉楼巷,22.523562,114.045495,tianditu
福田区,福保街道,滨河新洲一号桥洞,22.52992,114.04067,tianditu
福田区,福保街道,滨河益田一号桥洞,22.531345,114.051279,tianditu
福田区,福田街道,滨河皇岗立交1,22.528832,114.068975,tianditu
福田区,福田街道,4号桥洞,22.527948,114.028624,tianditu
福田区,福田街道,滨河路与海田路交汇桥洞,22.532482,114.061063,tianditu
福田区,福田街道,福强路高级技校门口,22.52923,114.06247,tianditu
福田区,华强北街道,同心路/荔香路（路口）市委周边,22.545158,114.094548,tianditu
福田区,华强北街道,华富路与红荔路交汇处,22.5512,114.06855,tianditu
福田区,南园街道,松岭路/滨河大道（路口）,22.532747,114.018397,tianditu
福田区,南园街道,华发南路/滨河大道（路口）,22.538381,114.084049,tianditu
福田区,南园街道,及污水顶托外冒,22.534341,113.962426,tianditu
福田区,园岭街道,红荔上步路口,22.54932,114.077654,tianditu
福田区,园岭街道,红岭路口,22.5419,114.06603,tianditu
福田区,园岭街道,红岭路与八卦二路口,22.561902,114.098656,tianditu
福田区,园岭街道,泥岗西路市体育场西门前,22.5647,114.08295,tianditu
福田区,华富街道,神彩苑南出入口,22.568,114.0653,tianditu
福田区,华富街道,深南彩田立交北侧桥洞,22.54275,114.062725,tianditu
福田区,华富街道,福科二路勘察院门口,22.54612,114.0659,tianditu
福田区,莲花街道,景田路与北环大道交汇处,22.56161,114.034178,tianditu
福田区,莲花街道,新洲北环立交四号桥洞,22.52779,114.04233,tianditu
福田区,莲花街道,中级法院等路段,22.56226,114.06169,tianditu
福田区,梅林街道,北环辅道东往西新洲立交桥下,22.563439,114.039939,tianditu
福田区,梅林街道,福龙路与北环路交界处辅道往南山方向,22.55732,114.03158,tianditu
福田区,梅林街道,北环皇岗立交桥北侧梅龙天桥底,22.569009,114.067494,tianditu
福田区,沙头街道,深圳卫星证券桥洞,22.54528,114.061068,tianditu
福田区,沙头街道,滨河新洲立交2号桥洞,22.531411,114.044592,tianditu
福田区,沙头街道,白石路福田汽车站南,22.53429,114.00889,tianditu
福田区,香蜜湖街道,红荔西路/香梅路（路口）,22.5465,114.03406,tianditu
福田区,香蜜湖街道,香蜜湖路下沉隧道,22.551826,114.018596,tianditu
福田区,香蜜湖街道,市委党校公交站前,22.548573,114.021801,tianditu
福田区,香蜜湖街道,红岭中学桥洞,22.562992,114.005467,tianditu
罗湖区,东门街道,湖贝村,22.548893,114.119412,tianditu
罗湖区,东门街道,晒布路等部分区域,22.55193,114.11631,tianditu
罗湖区,黄贝街道,黄贝公交站,22.5544,114.14682,tianditu
罗湖区,黄贝街道,罗湖区委,22.550022,114.125646,tianditu
罗湖区,黄贝街道,文锦渡口岸,22.544653,114.131394,tianditu
罗湖区,黄贝街道,黄贝岭三路,22.55033,114.13413,tianditu
罗湖区,黄贝街道,春风路高架桥/沿河南路(路口),22.546404,114.124238,tianditu
罗湖区,莲塘街道,罗沙路西岭下,22.561059,114.154713,tianditu
罗湖区,清水河街道,红岗西村,22.571771,114.097919,tianditu
罗湖区,清水河街道,武警新花园,22.600891,114.178323,tianditu
