station_code,peak_m,max_recess_h,avg_recess_h,events
MS1104403120000032,0.0,0.0,0,0
MS1104403030000247,0.0,0.0,0,0
MS1104403060000505,0.0,0.0,0,0
9281292018,0.0,0.0,0,0
9281292011,0.0,0.0,0,0
MS1104403080000027,0.0,0.0,0,0
9281192014,0.0,0.0,0,0
MS1104403060000486,0.0,0.0,0,0
MS1104403110000597,0.0,0.0,0,0
MS1104403080000012,0.0,0.0,0,0
MS1104403080000031,0.0,0.0,0,0
MS1104403030000285,0.05,0.0,0.0,2
MS1104403070000304,0.0,0.0,0,0
MS1104403090000099,0.05,0.0,0.0,3
MS1104403050000194,0.0,0.0,0,0
9281292003,0.0,0.0,0,0
9281192016,0.01,0.0,0,0
9281292012,0.0,0.0,0,0
MS1104403070000213,0.0,0.0,0,0
MS110440307000018X,0.0,0.0,0,0
MS1104403050000156,0.02,0.0,0,0
MS1104403030000319,0.05,0.0,0.0,1
MS1104403060000376,0.04,0.1,0.1,2
MS1104403040000577,0.0,0.0,0,0
MS1104403050000247,0.0,0.0,0,0
9281192004,0.0,0.0,0,0
MS1104403050000175,0.01,0.0,0,0
9281192011,0.1,0.0,0.0,2
9281192015,0.01,0.0,0,0
9281192006,0.02,0.0,0,0
9281292022,0.02,0.0,0,0
9281192003,0.1,0.0,0.0,3
MS1104403090000103,0.01,0.0,0,0
9281292014,0.02,0.0,0,0
MS1104403070000232,0.0,0.0,0,0
MS1104403070000251,0.0,0.0,0,0
MS1104403030000232,0.0,0.0,0,0
MS1104403090000137,0.0,0.0,0,0
9281192008,0.01,0.0,0,0
9281292007,0.0,0.0,0,0
MS1104403060000429,0.02,0.0,0,0
9281192005,0.1,0.0,0.0,1
9281292017,0.0,0.0,0,0
9281292015,0.0,0.0,0,0
MS1104403030000323,0.1,0.0,0.0,2
MS110440305000018X,0.0,0.0,0,0
MS1104403060000380,0.0,0.0,0,0
MS1104403070000285,0.05,0.0,0.0,2
9281192013,0.0,0.0,0,0
9281192002,0.05,0.0,0.0,1
9281192010,0.0,0.0,0,0
9281292021,0.0,0.0,0,0
MS1104403090000141,0.0,0.0,0,0
MS1104403060000319,0.0,0.0,0,0
9281292016,0.0,0.0,0,0
9281292019,0.01,0.0,0,0
MS1104403070000194,0.0,0.0,0,0
MS1104403040000634,0.0,0.0,0,0
MS1104403040000649,0.01,0.0,0,0
MS1104403060000414,0.0,0.0,0,0
MS1104403110000635,0.0,0.0,0,0
MS1104403060000452,0.01,0.0,0,0
MS1104403050000122,0.02,0.0,0,0
9281292008,0.01,0.0,0,0
MS1104403100000047,0.02,0.0,0,0
MS1104403090000118,0.0,0.0,0,0
MS1104403070000228,0.0,0.0,0,0
MS1104403060000467,0.01,0.0,0,0
9281192017,0.0,0.0,0,0
MS1104403030000338,0.0,0.0,0,0
MS1104403030000266,0.05,0.0,0.0,2
9281192001,0.05,0.0,0.0,2
9281292002,0.01,0.0,0,0
9281192022,0.01,0.0,0,0
MS1104403040000558,0.05,0.1,0.0,2
MS1104403100000032,0.0,0.0,0,0
MS1104403070000266,0.02,0.0,0,0
MS1104403090000122,0.0,0.0,0,0
MS1104403050000213,0.0,0.0,0,0
9281192020,0.05,0.0,0.0,3
9281292009,0.02,0.0,0,0
9281292020,0.0,0.0,0,0
9281292024,0.02,0.0,0,0
MS1104403030000304,0.04,0.3,0.1,3
9281292013,0.02,0.0,0,0
MS1104403060000490,0.03,0.1,0.0,2
9281292023,0.0,0.0,0,0
MS110440304000062X,0.0,0.0,0,0
MS1104403070000209,0.0,0.0,0,0
9281192009,0.0,0.0,0,0
MS1104403100000051,0.05,0.0,0.0,2
MS1104403100000066,0.0,0.0,0,0
9281292006,0.05,0.0,0.0,2
9281292004,0.0,0.0,0,0
9281192018,0.0,0.0,0,0
9281292010,0.0,0.0,0,0
MS1104403050000232,0.0,0.0,0,0
MS1104403050000228,0.0,0.0,0,0
9281292001,0.0,0.0,0,0
MS1104403060000323,0.0,0.0,0,0
MS1104403060000361,0.01,0.0,0,0
9281192007,0.05,0.0,0.0,3
9281292005,0.01,0.0,0,0
MS1104403070000319,0.05,0.0,0.0,2
MS110440307000029X,0.01,0.0,0,0
MS1104403030000251,0.0,0.0,0,0
MS1104403060000433,0.0,0.0,0,0
MS1104403030000342,0.03,0.0,0.0,1
9281192021,0.05,0.0,0.0,1
MS110440306000040X,0.03,0.1,0.1,1
MS1104403050000141,0.01,0.0,0,0
MS1104403050000137,0.0,0.0,0,0
MS1104403070000338,0.03,0.1,0.1,1
MS1104403070000323,0.0,0.0,0,0
MS1104403110000616,0.0,0.0,0,0
MS1104403040000581,0.01,0.0,0,0
9281192012,0.0,0.0,0,0
MS1104403040000600,0.0,0.0,0,0
MS1104403060000448,0.0,0.0,0,0
MS110440309000007X,0.0,0.0,0,0
MS1104403110000601,0.0,0.0,0,0
MS1104403040000615,0.0,0.0,0,0
MS1104403060000471,0.0,0.0,0,0
MS110440306000029X,0.03,0.0,0.0,2
MS1104403070000270,0.0,0.0,0,0
MS1104403110000620,0.0,0.0,0,0
MS1104403060000395,0.05,0.0,0.0,1
MS1104403070000175,0.0,0.0,0,0
MS1104403060000357,0.01,0.0,0,0
9281192019,0.06,0.5,0.1,5
MS1104403040000596,0.01,0.0,0,0
MS1104403070000342,0.0,0.0,0,0
MS1104403050000160,0.0,0.0,0,0
MS1104403090000084,0.05,0.0,0.0,1
MS1104403070000247,0.0,0.0,0,0
MS110440311000064X,0.02,0.0,0,0
MS1104403040000543,0.0,0.0,0,0
MS1104403090000065,0.0,0.0,0,0
MS1104403040000562,0.01,0.0,0,0
MS1104403050000118,0.03,0.0,0.0,1
MS1104403060000338,0.05,0.0,0.0,2
MS110440303000029X,0.02,0.0,0,0
MS1104403100000028,0.0,0.0,0,0
MS1104403060000304,0.05,0.0,0.0,1
MS1104403030000270,0.0,0.0,0,0
MS1104403030000228,0.0,0.0,0,0
MS1104403060000342,0.0,0.0,0,0
MS1104403050000209,0.01,0.0,0,0
