station_code,station_name,matched_road,lat,lon,method
9281192001,(市)平湖火车隧道口,Tianditu:深圳(市)平湖火车隧道口,22.697494,114.119296,tianditu
MS1104403060000414,(市)宝安区福和路西六巷,福和路,22.75496986065163,113.7975587837876,osm_road
MS1104403070000304,(市)英才学校,Tianditu:深圳(市)英才学校,22.76973,113.87325,tianditu
MS1104403070000251,(市)龙岗区政府,Tianditu:(市)龙岗区政府,22.725427,114.267299,tianditu
MS1104403050000160,(市)桃园路与南新路交叉口,桃园路,22.535395972003414,113.91852837514443,osm_road
MS1104403110000597,(市)东长路外环高速长圳入口,东长路,22.747509018088216,113.91221411091422,osm_road
MS1104403030000232,(市)沿河南路文锦路社区,沿河南路,22.550252268776845,114.11444108979862,osm_road
MS1104403060000304,(市)山门第三工业区,Tianditu:(市)山门第三工业区,22.78637,113.85335,tianditu
MS1104403060000448,(市)宝安区沙井西环路正科时代,西环路,22.658437552805964,113.96411546099013,osm_road
MS1104403060000471,(市)万达广场,Tianditu:龙华区万达广场,22.72132,114.05284,tianditu
MS1104403030000304,(市)东湖路,东湖路,22.582822583699635,114.1345991945055,osm_road
MS1104403090000118,(市)新区大道深圳北站,新区大道,22.624351465560785,114.01682556681699,osm_road
MS1104403060000395,(市)宝安区幸福路与恒珠一路,Tianditu:宝安区幸福路与恒珠一路,22.805936,113.838415,tianditu
MS1104403030000270,(市)罗湖区委,Tianditu:(市)罗湖区委,22.550022,114.125646,tianditu
MS1104403060000490,(市)碧海湾地铁站 B 出入口,Tianditu:(市)碧海湾地铁站B出入口,22.57724,113.85179,tianditu
MS1104403050000122,(市)南山大道深意工业大厦段,南山大道,22.540721694789013,113.9181638130031,osm_road
MS1104403110000635,(市)公常路与环村路交叉口,公常路,22.826648407959507,113.95688701032125,osm_road
MS1104403080000031,(市)桥东街小区,Tianditu:(市)桥东街小区,22.54853,114.22796,tianditu
9281292004,(市)滨河益田立交桥洞,Tianditu:(市)滨河益田立交桥洞,22.531345,114.051279,tianditu
9281292005,(市)深南新洲一号立交桥洞,Tianditu:(市)深南新洲一号立交桥洞,22.542743,114.044462,tianditu
9281292010,(市)上星南路与中心路丽沙花都,中心路,22.502209013854387,113.93734688972145,osm_road
MS1104403100000066,(市)文化中心地铁站,Tianditu:深圳(市)文化中心地铁站,22.5733,114.07965,tianditu
9281192019,(市)福龙路高铁桥下简上段,福龙路,22.61964472178257,114.00080097044238,osm_road
9281292023,(市)东滨路南行华联城市山林花园段,东滨路,22.51106546682151,113.92212734316605,osm_road
